podcast_date,title,summary,href,transcript_href
"June 10, 2011 ",Power May Increase Promiscuity," Anthony Weiner, Arnold Schwarzenegger — men behaving badly, right? It may be more complex than that. New survey research shows that, given power, women are as likely as men to stray.",https://www.npr.org/2011/06/10/137112887/some-suggest-power-increases-promiscuity,https://www.npr.org/transcripts/137112887
"July 28, 2011 ",Political Negotiations Also Shaped By Human Psychology," We all know congressional negotiators are trying to balance ideology and pragmatism. But negotiators are people, too, and psychology has some useful things to say about political standofffs.",https://www.npr.org/sections/thetwo-way/2011/07/29/138802290/political-negotiations-also-shaped-by-human-psychology,https://www.npr.org/transcripts/138802290
"July 7, 2011 ",Dispute: How Violent Video Games Affect Kids ," Scientists have long clashed over whether violent video games have an adverse effect on young people, and recently the Supreme Court overturned a California ban on violent video games. It's unclear whether playing games such as Grand Theft Auto and Postal really harm people.",https://www.npr.org/2011/07/07/137660609/its-a-duel-how-do-violent-video-games-affect-kids,https://www.npr.org/transcripts/137660609
"July 4, 2011 "," The Key To Disaster Survival? Pals, Neighbors"," A researcher's data suggest that ambulances, firetrucks and government aid aren't the principal ways most people survive during and recover after a disaster. Instead, it's the personal ties between members of a community that really matter.",https://www.npr.org/2011/07/04/137526401/the-key-to-disaster-survival-friends-and-neighbors,https://www.npr.org/transcripts/137526401
"August 31, 2011 ","To Dodge Blame, Officials  Prep Public For Worst"," Because people are more likely to blame public officials if there is a repeat of a previous disaster, officials tend to disproportionately focus their safety efforts on preventing similar disasters in the future, researchers say. So, for example, officials might over-react to a hurricane in light of Katrina, even if the real threat to public safety may lie elsewhere.",https://www.npr.org/2011/08/31/140085048/to-dodge-blame-officials-prepare-public-for-worst,https://www.npr.org/transcripts/140085048
"August 2, 2011 ","Under Pressure, Soccer Goalies Tend To Dive Right"," Here's some science for the betting table: When a soccer goalie's team is behind in penalty kicks, the goalie will dive to the right 71 percent of the time, regardless of the direction of the kick, according to new research. Don't believe us? Watch this year's FIFA Women's World Cup final and see for yourself.",https://www.npr.org/2011/08/02/138922339/under-pressure-soccer-goalies-tend-to-dive-right,https://www.npr.org/transcripts/138922339
"October 4, 2011 ",Eating Meals With Men May Mean Eating Less," Both women and men eat less when their dining companions are men, according to new research in the Journal of Applied Social Psychology.",https://www.npr.org/sections/thesalt/2011/10/04/140961754/eating-meals-with-men-may-mean-eating-less,https://www.npr.org/transcripts/140961754
"December 20, 2011 ",The Marriage Economy: 'I Couldn't Afford To Get Divorced'," The nation's high unemployment rate is straining many marriages, a new survey finds. At the same time, many unhappy couples say they feel trapped, unable to afford a breakup. Experts say that's a dangerous combination that can increase the risk of domestic violence.",https://www.npr.org/2011/12/20/144021297/marriage-economy-i-couldnt-afford-to-get-divorced,https://www.npr.org/transcripts/144021297
"December 5, 2011 ",Scientists Deconstruct Screams To Study Tantrums," Toddlers outfitted with high-tech wireless recording devices have helped researchers discover that tantrums have a very distinct, predictable pattern. Understanding that tantrums have a rhythm can not only help parents know when to intervene, but also give them a sense of control.",https://www.npr.org/sections/health-shots/2011/12/05/143062378/whats-behind-a-temper-tantrum-scientists-deconstruct-the-screams,https://www.npr.org/transcripts/143062378
"January 2, 2012 ",Google Searches Are A Window Into Our Culture," Millions of people are searching for things every day on Google. The people at the giant search engine company realized that if they tracked those searches, the patterns can tell us about what's happening with people's lives.",https://www.npr.org/2012/01/02/144572891/google-searches-are-a-window-into-our-culture,https://www.npr.org/transcripts/144572891
